,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
2960,ACHUSDT,PNTUSDT,0.0,-4.46,-3.34,0.15,0
2948,JOEUSDT,OMGUSDT,0.01,-4.08,-3.34,0.54,0
2949,JOEUSDT,THETAUSDT,0.0,-4.32,-3.34,0.4,0
2950,JOEUSDT,ENJUSDT,0.01,-3.97,-3.34,1.04,0
2951,JOEUSDT,MATICUSDT,0.0,-4.18,-3.34,0.45,0
2952,JOEUSDT,TFUELUSDT,0.03,-3.56,-3.34,7.61,0
2953,ACHUSDT,TUSDUSDT,0.01,-4.03,-3.34,0.02,0
2954,ACHUSDT,ZRXUSDT,0.02,-3.77,-3.34,0.08,0
2955,ACHUSDT,XMRUSDT,0.0,-4.18,-3.34,0.0,0
2956,ACHUSDT,DREPUSDT,0.02,-3.73,-3.34,0.06,0
2957,ACHUSDT,COTIUSDT,0.0,-4.4,-3.34,0.35,0
2958,ACHUSDT,STMXUSDT,0.01,-3.92,-3.34,2.65,0
2959,ACHUSDT,KNCUSDT,0.01,-3.94,-3.34,0.03,0
2990,LOKAUSDT,ETHUSDT,0.04,-3.4,-3.34,0.0,0
2991,LOKAUSDT,XRPUSDT,0.03,-3.56,-3.34,0.37,0
2992,LOKAUSDT,USDCUSDT,0.01,-3.9,-3.34,0.21,0
3035,BTTCUSDT,ENJUSDT,0.04,-3.41,-3.34,0.0,0
3023,SCRTUSDT,RVNUSDT,0.01,-3.87,-3.34,17.86,0
3024,SCRTUSDT,KAVAUSDT,0.02,-3.6,-3.34,0.4,0
3025,SCRTUSDT,VITEUSDT,0.01,-3.94,-3.34,23.16,0
3026,API3USDT,IOTAUSDT,0.04,-3.47,-3.34,6.5,0
3027,BTTCUSDT,ETHUSDT,0.01,-3.8,-3.34,0.0,0
3028,BTTCUSDT,ADAUSDT,0.0,-4.87,-3.34,0.0,0
3029,BTTCUSDT,XRPUSDT,0.04,-3.42,-3.34,0.0,0
3030,BTTCUSDT,TUSDUSDT,0.0,-4.43,-3.34,0.0,0
3031,BTTCUSDT,USDCUSDT,0.0,-4.23,-3.34,0.0,0
3032,BTTCUSDT,HOTUSDT,0.05,-3.36,-3.34,0.0,0
3033,BTTCUSDT,OMGUSDT,0.0,-4.55,-3.34,0.0,0
3034,BTTCUSDT,THETAUSDT,0.02,-3.67,-3.34,0.0,0
3036,BTTCUSDT,MATICUSDT,0.0,-4.75,-3.34,0.0,0
2993,LOKAUSDT,OMGUSDT,0.02,-3.62,-3.34,0.42,0
3037,BTTCUSDT,FTMUSDT,0.0,-4.29,-3.34,0.0,0
3038,BTTCUSDT,WINUSDT,0.0,-4.76,-3.34,0.01,0
3039,BTTCUSDT,FUNUSDT,0.0,-5.05,-3.34,0.0,0
3040,BTTCUSDT,CHZUSDT,0.0,-4.92,-3.34,0.0,0
3041,BTTCUSDT,BUSDUSDT,0.0,-4.54,-3.34,0.0,0
3042,BTTCUSDT,XTZUSDT,0.01,-4.03,-3.34,0.0,0
3043,BTTCUSDT,RVNUSDT,0.0,-4.5,-3.34,0.0,0
3044,BTTCUSDT,KAVAUSDT,0.0,-4.62,-3.34,0.0,0
3045,BTTCUSDT,CTXCUSDT,0.05,-3.35,-3.34,0.0,0
3046,BTTCUSDT,VITEUSDT,0.0,-5.01,-3.34,0.0,0
3047,BTTCUSDT,DREPUSDT,0.01,-3.88,-3.34,0.0,0
3048,BTTCUSDT,WRXUSDT,0.02,-3.66,-3.34,0.0,0
